No,City,1991,2001,2011,Longitude,Latitude,mouseX,x,mouseY,y
1,London,"6,715,769","7,208,384","8,250,205",-0.093145,51.514248,712,1898.666667,921,2456
2,Birmingham,"965,928","970,892","1,085,810",-1.916667,52.466667,604,1610.666667,793,2114.666667
3,Glasgow,...,"575,132","590,507",-4.25,55.833333,513,1368,389,1037.333333
4,Liverpool,"538,386","523,783","552,267",-3,53.416667,550,1466.666667,674,1797.333333
5,Bristol,"496,044","516,997","535,907",-2.583333,51.45,539,1437.333333,899,2397.333333
6,Sheffield,"457,805","469,127","518,090",-1.5,53.366667,642,1712,690,1840
7,Manchester,"447,863","438,752","510,746",-2.216667,53.5,597,1592,682,1818.666667
8,Leeds,"424,194","445,795","474,632",-1.583333,53.8,652,1738.666667,646,1722.666667
9,Edinburgh,"400,632","431,393","459,366",-3.2,55.95,578,1541.333333,392,1045.333333
10,Leicester,"377,700","401,448","443,760",-1.133333,52.633333,658,1754.666667,782,2085.333333
11,Bradford,"305,101","311,130","349,561",-1.75,53.783333,628,1674.666667,641,1709.333333
12,Cardiff,"276,464","296,808","335,145",-3.2,51.5,496,1322.666667,883,2354.666667
13,Coventry,"299,316","305,854","325,949",-1.55,52.416667,628,1674.666667,802,2138.666667
14,Nottingham,"270,222","249,584","289,301",-1.166667,52.966667,659,1757.333333,745,1986.666667
15,Kingston upon Hull,"310,636","301,416","284,321",-0.333333,53.716667,699,1864,930,2480
16,Belfast,"279,237","276,705","280,561",-5.92541,54.59682,381,1016,511,1362.666667
17,Stoke-on-Trent,"266,543","259,252","270,726",-2.183333,53,594,1584,723,1928
18,Newcastle upon Tyne,"255,362","254,777","268,064",-1.619444,54.988056,661,1762.666667,512,1365.333333
19,Derby,"223,836","229,407","255,394",-1.5,52.933333,640,1706.666667,747,1992
20,Southampton,"210,138","234,224","253,651",-1.4,50.9,611,1629.333333,972,2592
21,Portsmouth,0,0,"238,137",-1.083333,50.766667,633,1688,991,2642.666667
22,Plymouth,0,0,"234,982",-4.138611,50.396389,410,1093.333333,1001,2669.333333
23,Brighton and Hove,"192,453","206,628","229,700",-0.15,50.833333,698,1861.333333,994,2650.666667
24,Reading,"213,474",0,"218,705",-1,51.433333,647,1725.333333,917,2445.333333
25,Northampton,"183,082","197,199","215,173",-0.883333,52.25,669,1784,827,2205.333333
26,Luton,"171,671","185,543","211,228",-0.416667,51.883333,696,1856,871,2322.666667
27,Wolverhampton,0,0,"210,319",-2.133333,52.583333,589,1570.666667,779,2077.333333
28,Aberdeen,"182,133","185,226","195,021",-2.1,57.133333,669,1784,259,690.6666667
29,Bolton,0,0,"194,189",-2.433333,53.583333,583,1554.666667,663,1768
30,Bournemouth,"155,488","167,527","187,503",-1.883333,50.716667,578,1541.333333,990,2640
31,Norwich,"171,304","174,047","186,682",1.3,52.633333,822,2192,803,2141.333333
32,Swindon,"145,236","155,432","182,441",-1.783333,51.516667,598,1594.666667,897,2392
33,Swansea,"171,038","169,880","179,485",-3.966667,51.633333,444,1184,865,2306.666667
34,Southend-on-Sea,"158,517","160,257","175,547",0.7,51.533333,775,2066.666667,924,2464
35,Middlesbrough,"184,773","175,479","174,700",-1.162778,54.572778,682,1818.666667,567,1512
36,Sunderland,"183,310","177,739","174,286",-1.383333,54.911944,673,1794.666667,526,1402.666667
37,Milton Keynes,"102,428","122,041","171,750",-0.7,52.033333,676,1802.666667,845,2253.333333
38,Warrington,"152,458","158,195","165,456",-2.6,53.383333,572,1525.333333,682,1818.666667
39,Huddersfield,"147,847","149,938","162,949",-1.783333,53.65,633,1688,658,1754.666667
40,Peterborough,"134,788","136,292","161,707",-0.25,52.583333,716,1909.333333,791,2109.333333
41,Oxford,"118,795","143,016","159,994",-1.25,51.75,637,1698.666667,879,2344
42,Slough,"121,811","137,736","155,298",-0.583333,51.5,679,1810.666667,912,2432
43,Poole,"138,479","144,800","154,718",-2,50.716667,570,1520,991,2642.666667
44,York,"124,609","137,505","152,841",-1.083333,53.966667,683,1821.333333,635,1693.333333
45,Blackpool,"146,262","142,283","147,663",-3.05,53.816667,552,1472,634,1690.666667
46,Dundee,0,"145,817","147,285",-2.966667,56.5,610,1626.666667,333,888
47,Cambridge,"109,912","127,713","145,818",0.116667,52.2,743,1981.333333,839.5,2238.666667
48,Ipswich,"130,157","138,718","144,957",1.166667,52.083333,806,2149.333333,867,2312
49,Birkenhead,"149,164","137,634","142,968",-3.01479,53.39337,540,1440,681,1816
50,Telford,"114,251","131,489","142,723",-2.5,52.633333,567,1512,754,2010.666667
51,Gloucester,"114,003","123,205","136,362",-2.25,51.833333,568,1514.666667,856,2282.666667
52,Sale,...,...,"134,022",-2.32443,53.42519,588,1568,685,1826.666667
53,Watford,"113,080","120,960","131,982",-0.39602,51.65531,693,1848,896,2389.333333
54,Newport,"115,522","118,323","128,060",-2.983333,51.583333,514,1370.666667,879,2344
55,Solihull,"118,103","118,907","123,187",-1.783333,52.416667,612,1632,803,2141.333333
56,High Wycombe,"106,123","110,473","120,256",-0.74934,51.62907,664,1770.666667,898,2394.666667
57,Gateshead,"118,212","112,599","120,046",-1.6175,54.945,659,1757.333333,519,1384
58,Colchester,"96,063","104,390","119,441",0.90421,51.88921,780,2080,881,2349.333333
59,Blackburn,...,...,"117,963",-2.483333,53.75,594,1584,645,1720
60,Cheltenham,"102,633","110,320","116,447",-2.08333,51.9,579,1544,853,2274.666667
61,Exeter,"94,717","106,772","113,507",-3.533333,50.7,459,1224,971,2589.333333
62,Chelmsford,"97,451","99,962","110,507",0.483333,51.733333,756,2016,896,2389.333333
63,Doncaster,"103,580","101,056","109,805",-1.116667,53.533333,674,1797.333333,681,1816
64,Rotherham,...,...,"109,691",-1.35,53.433333,660,1760,695,1853.333333
65,Eastbourne,"94,793","106,562","109,185",0.28453,50.76871,729,1944,1006,2682.666667
66,Worthing,...,...,"109,120",-0.37538,50.81795,683,1821.333333,995,2653.333333
67,Sutton Coldfield,"106,001","105,452","109,015",-1.81667,52.56667,610,1626.666667,787,2098.666667
68,Rochdale,"100,935","102,888","107,926",-2.15,53.616667,605,1613.333333,662,1765.333333
69,Maidstone,...,...,"107,627",0.516667,51.266667,756,2016,954,2544
